# from_timestamp_us, to_timestamp_us, file_index
53192802749, 53192902664, 10
53192902664, 53193002512, 12
53193002512, 53193102419, 14
53193102419, 53193202285, 16
53193202285, 53193302164, 18
53193302164, 53193402021, 20
53193402021, 53193501888, 22
53193501888, 53193601771, 24
53193601771, 53193701644, 26
53193701644, 53193801533, 28
53193801533, 53193901444, 30
53193901444, 53194001262, 32
53194001262, 53194101208, 34
53194101208, 53194201128, 36
53194201128, 53194301052, 38
53194301052, 53194400996, 40
53194400996, 53194500954, 42
53194500954, 53194600904, 44
53194600904, 53194700868, 46
53194700868, 53194800836, 48
53194800836, 53194900802, 50
53194900802, 53195000718, 52
53195000718, 53195100746, 54
53195100746, 53195200718, 56
53195200718, 53195300686, 58
53195300686, 53195400691, 60
53195400691, 53195500668, 62
53195500668, 53195600651, 64
53195600651, 53195700657, 66
53195700657, 53195800652, 68
53195800652, 53195900640, 70
53195900640, 53196000561, 72
53196000561, 53196100571, 74
53196100571, 53196200555, 76
53196200555, 53196300560, 78
53196300560, 53196400544, 80
53196400544, 53196500528, 82
53196500528, 53196600513, 84
53196600513, 53196700499, 86
53196700499, 53196800490, 88
53196800490, 53196900470, 90
53196900470, 53197000396, 92
53197000396, 53197100410, 94
53197100410, 53197200392, 96
53197200392, 53197300401, 98
53197300401, 53197400387, 100
53197400387, 53197500358, 102
53197500358, 53197600360, 104
53197600360, 53197700343, 106
53197700343, 53197800326, 108
53197800326, 53197900314, 110
53197900314, 53198000241, 112
53198000241, 53198100277, 114
53198100277, 53198200264, 116
53198200264, 53198300254, 118
53198300254, 53198400248, 120
53198400248, 53198500253, 122
53198500253, 53198600236, 124
53198600236, 53198700238, 126
53198700238, 53198800240, 128
53198800240, 53198900238, 130
53198900238, 53199000194, 132
53199000194, 53199100224, 134
53199100224, 53199200242, 136
53199200242, 53199300244, 138
53199300244, 53199400246, 140
53199400246, 53199500250, 142
53199500250, 53199600252, 144
53199600252, 53199700254, 146
53199700254, 53199800252, 148
53199800252, 53199900254, 150
53199900254, 53200000194, 152
53200000194, 53200100236, 154
53200100236, 53200200234, 156
53200200234, 53200300240, 158
53200300240, 53200400238, 160
53200400238, 53200500234, 162
53200500234, 53200600240, 164
53200600240, 53200700242, 166
53200700242, 53200800248, 168
53200800248, 53200900246, 170
53200900246, 53201000194, 172
53201000194, 53201100220, 174
53201100220, 53201200238, 176
53201200238, 53201300244, 178
53201300244, 53201400246, 180
53201400246, 53201500252, 182
53201500252, 53201600252, 184
53201600252, 53201700260, 186
53201700260, 53201800255, 188
53201800255, 53201900261, 190
53201900261, 53202000196, 192
53202000196, 53202100246, 194
53202100246, 53202200246, 196
53202200246, 53202300230, 198
53202300230, 53202400233, 200
53202400233, 53202500239, 202
53202500239, 53202600243, 204
53202600243, 53202700264, 206
53202700264, 53202800270, 208
53202800270, 53202900274, 210
53202900274, 53203000216, 212
53203000216, 53203100243, 214
53203100243, 53203200257, 216
53203200257, 53203300256, 218
53203300256, 53203400258, 220
53203400258, 53203500269, 222
53203500269, 53203600259, 224
53203600259, 53203700261, 226
53203700261, 53203800280, 228
53203800280, 53203900262, 230
53203900262, 53204000217, 232
53204000217, 53204100259, 234
53204100259, 53204200257, 236
53204200257, 53204300264, 238
53204300264, 53204400262, 240
53204400262, 53204500261, 242
53204500261, 53204600267, 244
53204600267, 53204700266, 246
53204700266, 53204800271, 248
53204800271, 53204900280, 250
53204900280, 53205000224, 252
53205000224, 53205100254, 254
