# from_timestamp_us, to_timestamp_us, file_index
49740400603, 49740500610, 10
49740500610, 49740600604, 12
49740600604, 49740700610, 14
49740700610, 49740800609, 16
49740800609, 49740900618, 18
49740900618, 49741000566, 20
49741000566, 49741100620, 22
49741100620, 49741200603, 24
49741200603, 49741300617, 26
49741300617, 49741400626, 28
49741400626, 49741500641, 30
49741500641, 49741600667, 32
49741600667, 49741700668, 34
49741700668, 49741800672, 36
49741800672, 49741900678, 38
49741900678, 49742000617, 40
49742000617, 49742100640, 42
49742100640, 49742200653, 44
49742200653, 49742300641, 46
49742300641, 49742400635, 48
49742400635, 49742500616, 50
49742500616, 49742600610, 52
49742600610, 49742700601, 54
49742700601, 49742800585, 56
49742800585, 49742900582, 58
49742900582, 49743000532, 60
49743000532, 49743100578, 62
49743100578, 49743200576, 64
49743200576, 49743300578, 66
49743300578, 49743400576, 68
49743400576, 49743500585, 70
49743500585, 49743600584, 72
49743600584, 49743700585, 74
49743700585, 49743800588, 76
49743800588, 49743900598, 78
49743900598, 49744000541, 80
49744000541, 49744100568, 82
49744100568, 49744200572, 84
49744200572, 49744300594, 86
49744300594, 49744400576, 88
49744400576, 49744500588, 90
49744500588, 49744600582, 92
49744600582, 49744700593, 94
49744700593, 49744800597, 96
49744800597, 49744900595, 98
49744900595, 49745000553, 100
49745000553, 49745100600, 102
49745100600, 49745200604, 104
49745200604, 49745300586, 106
49745300586, 49745400604, 108
49745400604, 49745500596, 110
49745500596, 49745600597, 112
49745600597, 49745700618, 114
49745700618, 49745800628, 116
49745800628, 49745900633, 118
49745900633, 49746000569, 120
49746000569, 49746100619, 122
49746100619, 49746200617, 124
49746200617, 49746300610, 126
49746300610, 49746400609, 128
49746400609, 49746500584, 130
49746500584, 49746600592, 132
49746600592, 49746700596, 134
49746700596, 49746800596, 136
49746800596, 49746900586, 138
49746900586, 49747000533, 140
49747000533, 49747100563, 142
49747100563, 49747200581, 144
49747200581, 49747300564, 146
49747300564, 49747400588, 148
49747400588, 49747500564, 150
49747500564, 49747600570, 152
49747600570, 49747700593, 154
49747700593, 49747800566, 156
49747800566, 49747900570, 158
49747900570, 49748000521, 160
49748000521, 49748100571, 162
49748100571, 49748200569, 164
49748200569, 49748300568, 166
49748300568, 49748400574, 168
49748400574, 49748500573, 170
49748500573, 49748600571, 172
49748600571, 49748700573, 174
49748700573, 49748800582, 176
49748800582, 49748900585, 178
49748900585, 49749000526, 180
49749000526, 49749100552, 182
49749100552, 49749200574, 184
49749200574, 49749300580, 186
49749300580, 49749400562, 188
49749400562, 49749500565, 190
