# from_timestamp_us, to_timestamp_us, file_index
39549900417, 39550000352, 10
39550000352, 39550100405, 12
39550100405, 39550200399, 14
39550200399, 39550300393, 16
39550300393, 39550400396, 18
39550400396, 39550500400, 20
39550500400, 39550600405, 22
39550600405, 39550700408, 24
39550700408, 39550800410, 26
39550800410, 39550900417, 28
39550900417, 39551000368, 30
39551000368, 39551100400, 32
39551100400, 39551200407, 34
39551200407, 39551300428, 36
39551300428, 39551400439, 38
39551400439, 39551500442, 40
39551500442, 39551600441, 42
39551600441, 39551700447, 44
39551700447, 39551800449, 46
39551800449, 39551900447, 48
39551900447, 39552000394, 50
39552000394, 39552100420, 52
39552100420, 39552200440, 54
39552200440, 39552300430, 56
39552300430, 39552400451, 58
39552400451, 39552500450, 60
39552500450, 39552600451, 62
39552600451, 39552700454, 64
39552700454, 39552800472, 66
39552800472, 39552900474, 68
39552900474, 39553000409, 70
39553000409, 39553100439, 72
39553100439, 39553200441, 74
39553200441, 39553300454, 76
39553300454, 39553400460, 78
39553400460, 39553500464, 80
39553500464, 39553600462, 82
39553600462, 39553700464, 84
39553700464, 39553800469, 86
39553800469, 39553900463, 88
39553900463, 39554000410, 90
39554000410, 39554100436, 92
39554100436, 39554200458, 94
39554200458, 39554300444, 96
39554300444, 39554400455, 98
39554400455, 39554500453, 100
39554500453, 39554600455, 102
39554600455, 39554700458, 104
39554700458, 39554800456, 106
39554800456, 39554900458, 108
39554900458, 39555000410, 110
39555000410, 39555100454, 112
39555100454, 39555200449, 114
39555200449, 39555300458, 116
39555300458, 39555400446, 118
39555400446, 39555500449, 120
39555500449, 39555600444, 122
39555600444, 39555700444, 124
39555700444, 39555800450, 126
39555800450, 39555900444, 128
39555900444, 39556000390, 130
39556000390, 39556100416, 132
39556100416, 39556200434, 134
39556200434, 39556300436, 136
39556300436, 39556400436, 138
39556400436, 39556500434, 140
39556500434, 39556600436, 142
39556600436, 39556700438, 144
39556700438, 39556800436, 146
39556800436, 39556900438, 148
39556900438, 39557000386, 150
39557000386, 39557100432, 152
39557100432, 39557200434, 154
39557200434, 39557300434, 156
39557300434, 39557400440, 158
39557400440, 39557500447, 160
39557500447, 39557600453, 162
39557600453, 39557700452, 164
39557700452, 39557800455, 166
39557800455, 39557900460, 168
39557900460, 39558000407, 170
39558000407, 39558100437, 172
39558100437, 39558200460, 174
39558200460, 39558300445, 176
39558300445, 39558400456, 178
39558400456, 39558500454, 180
39558500454, 39558600452, 182
39558600452, 39558700471, 184
39558700471, 39558800458, 186
39558800458, 39558900459, 188
39558900459, 39559000392, 190
39559000392, 39559100429, 192
39559100429, 39559200424, 194
39559200424, 39559300432, 196
39559300432, 39559400426, 198
39559400426, 39559500428, 200
39559500428, 39559600433, 202
39559600433, 39559700436, 204
39559700436, 39559800450, 206
39559800450, 39559900463, 208
39559900463, 39560000410, 210
39560000410, 39560100452, 212
39560100452, 39560200467, 214
39560200467, 39560300481, 216
39560300481, 39560400503, 218
39560400503, 39560500556, 220
39560500556, 39560600556, 222
39560600556, 39560700589, 224
39560700589, 39560800636, 226
39560800636, 39560900668, 228
39560900668, 39561000636, 230
39561000636, 39561100709, 232
39561100709, 39561200735, 234
39561200735, 39561300749, 236
39561300749, 39561400782, 238
39561400782, 39561500822, 240
39561500822, 39561600840, 242
39561600840, 39561700895, 244
39561700895, 39561800926, 246
39561800926, 39561900931, 248
39561900931, 39562000912, 250
39562000912, 39562100975, 252
39562100975, 39562201012, 254
39562201012, 39562301052, 256
39562301052, 39562401091, 258
39562401091, 39562501127, 260
39562501127, 39562601148, 262
39562601148, 39562701165, 264
39562701165, 39562801168, 266
39562801168, 39562901152, 268
39562901152, 39563001078, 270
39576000403, 39576100428, 532
39576100428, 39576200424, 534
39576200424, 39576300437, 536
39576300437, 39576400440, 538
39576400440, 39576500437, 540
39576500437, 39576600415, 542
39576600415, 39576700435, 544
39576700435, 39576800417, 546
39576800417, 39576900419, 548
39576900419, 39577000374, 550
39577000374, 39577100404, 552
39577100404, 39577200406, 554
39577200406, 39577300421, 556
39577300421, 39577400424, 558
39577400424, 39577500404, 560
39577500404, 39577600403, 562
39577600403, 39577700402, 564
39577700402, 39577800409, 566
39577800409, 39577900427, 568
39577900427, 39578000362, 570
39578000362, 39578100392, 572
39578100392, 39578200390, 574
39578200390, 39578300411, 576
39578300411, 39578400403, 578
39578400403, 39578500405, 580
39578500405, 39578600411, 582
39578600411, 39578700414, 584
39578700414, 39578800418, 586
39578800418, 39578900427, 588
39578900427, 39579000366, 590
39579000366, 39579100402, 592
39579100402, 39579200409, 594
39579200409, 39579300427, 596
39579300427, 39579400430, 598
39579400430, 39579500442, 600
39579500442, 39579600450, 602
39579600450, 39579700465, 604
39579700465, 39579800480, 606
39579800480, 39579900485, 608
39579900485, 39580000438, 610
39580000438, 39580100470, 612
39580100470, 39580200468, 614
39580200468, 39580300468, 616
39580300468, 39580400473, 618
39580400473, 39580500470, 620
39580500470, 39580600476, 622
39580600476, 39580700485, 624
39580700485, 39580800488, 626
39580800488, 39580900500, 628
39580900500, 39581000446, 630
39581000446, 39581100476, 632
39581100476, 39581200474, 634
39581200474, 39581300473, 636
39581300473, 39581400479, 638
39581400479, 39581500496, 640
39581500496, 39581600504, 642
39581600504, 39581700520, 644
39581700520, 39581800535, 646
39581800535, 39581900538, 648
39581900538, 39582000487, 650
39582000487, 39582100530, 652
39582100530, 39582200514, 654
39582200514, 39582300512, 656
39582300512, 39582400499, 658
39582400499, 39582500521, 660
39582500521, 39582600507, 662
39582600507, 39582700510, 664
39582700510, 39582800502, 666
39582800502, 39582900494, 668
39582900494, 39583000418, 670
39583000418, 39583100452, 672
39583100452, 39583200446, 674
39583200446, 39583300436, 676
39583300436, 39583400427, 678
39583400427, 39583500420, 680
39583500420, 39583600409, 682
